"predecessor","predecessorcid","transformation","successor","successorcid","evidencedoi","evidenceref","sourcecomment","sourcecommentfull","datasetref","enzyme","datasetdoi","biosystem"
"(-)-bisoprolol",10892731,"O-deisopropylation / Human Phase I","(-)-bisoprolol, O-deisopropyl","154699479","10.1186/s13321-018-0324-5","Horikiri, Y. (1998); Pharmacokinetics and Metabolism of Bisoprolol Enantiomers in Humans; Journal of Pharmaceutical Sciences; Vol. 87, No. 3","MetXBioDB | SourceID: BIOTID01296","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2D6; CYP3A4","10.5281/zenodo.4056560","Human"
"(-)-Epigallocatechin",72277,"Aromatic-OH glucuronidation / Human Phase II","(-)-Epigallocatechin, 3p-hydroxy-glucuronide","76970196","10.1186/s13321-018-0324-5","Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI:10.1007/s11095-012-0666-z","MetXBioDB | SourceID: BIOTID01529","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT1A9","10.5281/zenodo.4056560","Human"
"(-)-Epigallocatechin gallate",65064,"Aromatic-OH glucuronidation / Human Phase II","(-)-Epigallocatechin gallate, 3p-hydroxy-glucuronide","154700057","10.1186/s13321-018-0324-5","Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI:10.1007/s11095-012-0666-z","MetXBioDB | SourceID: BIOTID01527","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT1A9","10.5281/zenodo.4056560","Human"
"(-)-Epigallocatechin gallate",65064,"Aromatic-OH glucuronidation / Human Phase II","(-)-Epigallocatechin gallate, 4p-hydroxy-glucuronide","154699542","10.1186/s13321-018-0324-5","Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI:10.1007/s11095-012-0666-z","MetXBioDB | SourceID: BIOTID01528","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT1A9","10.5281/zenodo.4056560","Human"
"(-)-ethosuximide",6603844,"Aliphatic Hydroxylation / Human Phase I","3-(1-Hydroxyethyl)-3-methylpyrrolidine-2,5-dione","54520268","10.1186/s13321-018-0324-5","PMID:12637244","MetXBioDB | SourceID: BIOTID00032","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2E1; CYP3A4","10.5281/zenodo.4056560","Human"
"(-)-etodolac",667528,"Aromatic hydroxylation of fused benzene ring / Human Phase I","6-Hydroxyetodolac","14146232","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00033","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C9","10.5281/zenodo.4056560","Human"
"(-)-etodolac",667528,"Aromatic hydroxylation of fused benzene ring / Human Phase I","7-Hydroxyetodolac","14112821","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00034","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C9","10.5281/zenodo.4056560","Human"
"(-)-limonene",439250,"Allylic hydroxylation / Human Phase I","Carveol","7438","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00035","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C9; CYP2C19","10.5281/zenodo.4056560","Human"
"(-)-limonene",439250,"Allylic hydroxylation / Human Phase I","Perillyl alcohol","369312","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00036","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C9; CYP2C19; CYP3A4","10.5281/zenodo.4056560","Human"
"(-)-Menthol",16666,"Hydroxylation of alkyl methine / Human Phase I","p-Menthane-3,-8-diol","19100","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3682","MetXBioDB | SourceID: BIOTID01417","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2A6","10.5281/zenodo.4056560","Human"
