"predecessor","predecessorcid","transformation","successor","successorcid","evidencedoi","evidenceref","sourcecomment","sourcecommentfull","datasetref","enzyme","datasetdoi","biosystem","CID_to_CID","IK_to_IK","IKFB_to_IKFB","ReactionSMILES","DescReactionSMILES","predecessorEM","successorEM","MassDiff","XlogPDiff"
"(-)-(1R,2S,5R)-Menthol",11228933,"Eawag-BBD","(-)-(2S,5R)-Menthone","26447","","Hylemon PB, Harder J. FEMS Microbiol Rev (1998) 22(5): 475-88","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","11228933>>26447","NOOLISFMXDJSKH-ZDGBYWQASA-N>>NFLGAXVYCFJBMK-BDAKNGLRSA-N","NOOLISFMXDJSKH>>NFLGAXVYCFJBMK","C[C@@H]1CC[C@H](C(C1)O)C(C)C>>C[C@@H]1CC[C@H](C(=O)C1)C(C)C","C[C@@H]1CC[C@H](C(C1)O)C(C)C>[Eawag-BBD]>C[C@@H]1CC[C@H](C(=O)C1)C(C)C CID: 11228933 to CID: 26447","156.151415257","154.135765193","-2.015650064","-0.3"
"(-)-(2S,5R)-Menthone",26447,"Eawag-BBD","(5R)-Menth-2-enone","11205871","","Hylemon PB, Harder J. FEMS Microbiol Rev (1998) 22(5): 475-88","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","26447>>11205871","NFLGAXVYCFJBMK-BDAKNGLRSA-N>>OAYBZGPDRAMDNF-MRVPVSSYSA-N","NFLGAXVYCFJBMK>>OAYBZGPDRAMDNF","C[C@@H]1CC[C@H](C(=O)C1)C(C)C>>C[C@@H]1CC=C(C(=O)C1)C(C)C","C[C@@H]1CC[C@H](C(=O)C1)C(C)C>[Eawag-BBD]>C[C@@H]1CC=C(C(=O)C1)C(C)C CID: 26447 to CID: 11205871","154.135765193","152.12011513","-2.01565006300001","-0.2"
"(-)-bisoprolol",10892731,"O-deisopropylation / Human Phase I","(-)-bisoprolol, O-deisopropyl","154699479","10.1186/s13321-018-0324-5","Horikiri, Y. (1998); Pharmacokinetics and Metabolism of Bisoprolol Enantiomers in Humans; Journal of Pharmaceutical Sciences; Vol. 87, No. 3","MetXBioDB | SourceID: BIOTID01296","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2D6; CYP3A4","10.5281/zenodo.4056560","Human","10892731>>154699479","VHYCDWMUTMEGQY-KRWDZBQOSA-N>>AIGGWEPYIOOYLI-AWEZNQCLSA-N","VHYCDWMUTMEGQY>>AIGGWEPYIOOYLI","CC(C)NC[C@@H](COC1=CC=C(C=C1)COCCOC(C)C)O>>CC(C)NC[C@@H](COC1=CC=C(C=C1)COCCO)O","CC(C)NC[C@@H](COC1=CC=C(C=C1)COCCOC(C)C)O>[O-deisopropylation / Human Phase I]>CC(C)NC[C@@H](COC1=CC=C(C=C1)COCCO)O CID: 10892731 to CID: 154699479","325.22530847","283.17835828","-42.04695019","-1.4"
"(-)-Epigallocatechin",72277,"Aromatic-OH glucuronidation / Human Phase II","(-)-Epigallocatechin, 3p-hydroxy-glucuronide","76970196","10.1186/s13321-018-0324-5","Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI:10.1007/s11095-012-0666-z","MetXBioDB | SourceID: BIOTID01529","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT1A9","10.5281/zenodo.4056560","Human","72277>>76970196","XMOCLSLCDHWDHP-IUODEOHRSA-N>>CQDATFYRGVZXLF-ZVHNUXTDSA-N","XMOCLSLCDHWDHP>>CQDATFYRGVZXLF","C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O>>C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)O","C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O>[Aromatic-OH glucuronidation / Human Phase II]>C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)O CID: 72277 to CID: 76970196","306.07395278","482.10604075","176.03208797","-0.5"
"(-)-Epigallocatechin gallate",65064,"Aromatic-OH glucuronidation / Human Phase II","(-)-Epigallocatechin gallate, 3p-hydroxy-glucuronide","154700057","10.1186/s13321-018-0324-5","Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI:10.1007/s11095-012-0666-z","MetXBioDB | SourceID: BIOTID01527","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT1A9","10.5281/zenodo.4056560","Human","65064>>154700057","WMBWREPUVVBILR-WIYYLYMNSA-N>>WNLLMSQFYPFJGS-ZCRVWPRHSA-N","WMBWREPUVVBILR>>WNLLMSQFYPFJGS","C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O>>C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O","C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O>[Aromatic-OH glucuronidation / Human Phase II]>C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O CID: 65064 to CID: 154700057","458.08491139","634.11699936","176.03208797","-0.5"
"(-)-Epigallocatechin gallate",65064,"Aromatic-OH glucuronidation / Human Phase II","(-)-Epigallocatechin gallate, 4p-hydroxy-glucuronide","154699542","10.1186/s13321-018-0324-5","Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI:10.1007/s11095-012-0666-z","MetXBioDB | SourceID: BIOTID01528","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT1A9","10.5281/zenodo.4056560","Human","65064>>154699542","WMBWREPUVVBILR-WIYYLYMNSA-N>>DBWSOVOTCKCPCB-XNLIHRAISA-N","WMBWREPUVVBILR>>DBWSOVOTCKCPCB","C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O>>C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O","C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O>[Aromatic-OH glucuronidation / Human Phase II]>C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O CID: 65064 to CID: 154699542","458.08491139","634.11699936","176.03208797","-0.5"
"(-)-ethosuximide",6603844,"Aliphatic Hydroxylation / Human Phase I","3-(1-Hydroxyethyl)-3-methylpyrrolidine-2,5-dione","54520268","10.1186/s13321-018-0324-5","PMID:12637244","MetXBioDB | SourceID: BIOTID00032","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2E1; CYP3A4","10.5281/zenodo.4056560","Human","6603844>>54520268","HAPOVYFOVVWLRS-SSDOTTSWSA-N>>YPHULFCUFXXVGD-UHFFFAOYSA-N","HAPOVYFOVVWLRS>>YPHULFCUFXXVGD","CC[C@@]1(CC(=O)NC1=O)C>>CC(C1(CC(=O)NC1=O)C)O","CC[C@@]1(CC(=O)NC1=O)C>[Aliphatic Hydroxylation / Human Phase I]>CC(C1(CC(=O)NC1=O)C)O CID: 6603844 to CID: 54520268","141.078978594","157.07389321","15.994914616","-0.7"
"(-)-etodolac",667528,"Aromatic hydroxylation of fused benzene ring / Human Phase I","6-Hydroxyetodolac","14146232","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00033","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C9","10.5281/zenodo.4056560","Human","667528>>14146232","NNYBQONXHNTVIJ-QGZVFWFLSA-N>>GQHWDDBALZVXBU-UHFFFAOYSA-N","NNYBQONXHNTVIJ>>GQHWDDBALZVXBU","CCC1=C2C(=CC=C1)C3=C(N2)[C@@](OCC3)(CC)CC(=O)O>>CCC1=C2C(=CC(=C1)O)C3=C(N2)C(OCC3)(CC)CC(=O)O","CCC1=C2C(=CC=C1)C3=C(N2)[C@@](OCC3)(CC)CC(=O)O>[Aromatic hydroxylation of fused benzene ring / Human Phase I]>CCC1=C2C(=CC(=C1)O)C3=C(N2)C(OCC3)(CC)CC(=O)O CID: 667528 to CID: 14146232","287.15214353","303.14705815","15.99491462","-0.3"
"(-)-etodolac",667528,"Aromatic hydroxylation of fused benzene ring / Human Phase I","7-Hydroxyetodolac","14112821","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00034","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C9","10.5281/zenodo.4056560","Human","667528>>14112821","NNYBQONXHNTVIJ-QGZVFWFLSA-N>>LOALFJPXZIHKNH-UHFFFAOYSA-N","NNYBQONXHNTVIJ>>LOALFJPXZIHKNH","CCC1=C2C(=CC=C1)C3=C(N2)[C@@](OCC3)(CC)CC(=O)O>>CCC1=C(C=CC2=C1NC3=C2CCOC3(CC)CC(=O)O)O","CCC1=C2C(=CC=C1)C3=C(N2)[C@@](OCC3)(CC)CC(=O)O>[Aromatic hydroxylation of fused benzene ring / Human Phase I]>CCC1=C(C=CC2=C1NC3=C2CCOC3(CC)CC(=O)O)O CID: 667528 to CID: 14112821","287.15214353","303.14705815","15.99491462","-0.3"
"(-)-limonene",439250,"Allylic hydroxylation / Human Phase I","Carveol","7438","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00035","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C9; CYP2C19","10.5281/zenodo.4056560","Human","439250>>7438","XMGQYMWWDOXHJM-SNVBAGLBSA-N>>BAVONGHXFVOKBV-UHFFFAOYSA-N","XMGQYMWWDOXHJM>>BAVONGHXFVOKBV","CC1=CC[C@H](CC1)C(=C)C>>CC1=CCC(CC1O)C(=C)C","CC1=CC[C@H](CC1)C(=C)C>[Allylic hydroxylation / Human Phase I]>CC1=CCC(CC1O)C(=C)C CID: 439250 to CID: 7438","136.12520051","152.12011513","15.99491462","-1.3"
